id,smk,jurusan
5674,1,TEKNIK KOMPUTER DAN JARINGAN
5675,1,REKAYASA PERANGKAT LUNAK
5676,1,MULTIMEDIA
5677,1,PERHOTELAN
5679,1,AKUNTANSI DAN KEUANGAN LEMBAGA
5680,1,BISNIS DARING DAN PEMASARAN
5681,1,OTOMATISASI DAN TATA KELOLA PERKANTORAN
5755,1,PRODUKSI DAN SIARAN PROGRAM TELEVISI
5756,1,DESAIN KOMUNIKASI VISUAL
5687,2,TEKNIK AUDIO VIDEO
5689,2,TEKNIK INSTALASI TENAGA LISTRIK
5690,2,TEKNIK PEMESINAN
5691,2,TEKNIK KENDARAAN RINGAN OTOMOTIF
5692,2,TEKNIK DAN BISNIS SEPEDA MOTOR
5693,2,TEKNIK KOMPUTER DAN JARINGAN
5694,2,REKAYASA PERANGKAT LUNAK
5695,2,KONSTRUKSI GEDUNG, SANITASI DAN PERAWATAN
5696,2,TEKNIK ELEKTRONIKA DAYA DAN KOMUNIKASI
5697,2,TEKNIK TENAGA LISTRIK
5698,2,TEKNIK FABRIKASI LOGAM DAN MANUFAKTUR
5699,2,TEKNIK DAN MANAJEMEN PERAWATAN OTOMOTIF
5700,2,SISTEM INFORMATIKA, JARINGAN DAN APLIKASI
5762,2,ANIMASI
5763,2,DESAIN PEMODELAN DAN INFORMASI BANGUNAN
5701,3,BISNIS KONSTRUKSI DAN PROPERTI
5702,3,DESAIN PEMODELAN DAN INFORMASI BANGUNAN
5703,3,TEKNIK INSTALASI TENAGA LISTRIK
5704,3,TEKNIK AUDIO VIDEO
5705,3,TEKNIK PEMESINAN
5706,3,TEKNIK KENDARAAN RINGAN OTOMOTIF
5707,3,MULTIMEDIA
5682,4,AKUNTANSI DAN KEUANGAN LEMBAGA
5683,4,OTOMATISASI DAN TATA KELOLA PERKANTORAN
5684,4,BISNIS DARING DAN PEMASARAN
5685,4,USAHA PERJALANAN WISATA
5686,4,MULTIMEDIA
5708,5,KONSTRUKSI GEDUNG, SANITASI DAN PERAWATAN
5709,5,TEKNIK ELEKTRONIKA DAYA DAN KOMUNIKASI
5710,5,TEKNIK TENAGA LISTRIK
5711,5,TEKNIK FABRIKASI LOGAM DAN MANUFAKTUR
5712,5,TEKNIK DAN MANAJEMEN PERAWATAN OTOMOTIF
5713,5,TEKNIK ALAT BERAT
5714,5,KIMIA ANALISIS
5715,5,KIMIA INDUSTRI
5716,6,PERHOTELAN
5717,6,TATA BOGA
5718,6,TATA KECANTIKAN KULIT DAN RAMBUT
5719,6,TATA BUSANA
5720,6,USAHA PERJALANAN WISATA
5721,6,MULTIMEDIA
5722,6,AKUNTANSI DAN KEUANGAN LEMBAGA
5780,6,KIMIA INDUSTRI
5723,7,KONSTRUKSI GEDUNG, SANITASI DAN PERAWATAN
5724,7,DESAIN PEMODELAN DAN INFORMASI BANGUNAN
5725,7,TEKNIK AUDIO VIDEO
5726,7,TEKNIK INSTALASI TENAGA LISTRIK
5727,7,TEKNIK PEMESINAN
5728,7,TEKNIK KENDARAAN RINGAN OTOMOTIF
5729,7,TEKNIK KOMPUTER DAN JARINGAN
5730,7,TEKNIK PENDINGINAN DAN TATA UDARA
5757,8,MULTIMEDIA
5758,8,PERHOTELAN
5759,8,TATA BOGA
5760,8,TATA KECANTIKAN KULIT DAN RAMBUT
5761,8,TATA BUSANA
5731,10,MULTIMEDIA
5732,10,USAHA PERJALANAN WISATA
5733,10,AKUNTANSI DAN KEUANGAN LEMBAGA
5734,10,PERBANKAN DAN KEUANGAN MIKRO
5735,10,OTOMATISASI DAN TATA KELOLA PERKANTORAN
5736,10,BISNIS DARING DAN PEMASARAN
5737,10,FARMASI KLINIS DAN KOMUNITAS
5781,10,PERBANKAN SYARIAH
5738,12,MULTIMEDIA
5739,12,SENI LUKIS
5740,12,DESAIN KOMUNIKASI VISUAL
5741,12,DESAIN INTERIOR DAN TEKNIK FURNITUR
5742,12,ANIMASI
5743,12,KRIYA KREATIF BATIK DAN TEKSTIL
5744,12,KRIYA KREATIF KULIT DAN IMITASI
5745,12,KRIYA KREATIF LOGAM DAN PERHIASAN
5746,12,KRIYA KREATIF KAYU DAN ROTAN
5747,12,SENI MUSIK KLASIK
5748,12,SENI TARI
5749,12,SENI KARAWITAN
5750,12,SENI PEDALANGAN
5751,12,PEMERANAN
5752,12,PRODUKSI FILM
5753,13,DESAIN KOMUNIKASI VISUAL
5754,13,TEKNIK PEMESINAN